ParkName,Long,Lat,review_count_by_park,geometry,size_category,sentiment_x,weighted_average_sentiment,Discovery_percentage,Engagement_percentage,Frustration & Annoyance_percentage,Inspiration_percentage,Relaxation_percentage,Sorrow_percentage,Discovery_percentage_weighted,Engagement_percentage_weighted,Frustration & Annoyance_percentage_weighted,Inspiration_percentage_weighted,Relaxation_percentage_weighted,Sorrow_percentage_weighted,Dominant_Emotion_weighted,sentiment_y
Ralph Brooks Park,-75.177697,39.931445,37,POINT (-75.177697 39.931445),50,0.8767322897911072,0.9114175292057282,5.41,0.0,0.0,32.43,62.16,0.0,3.3,0.0,0.0,15.79,80.9,0.0,Relaxation,0.8767322897911072
Jefferson Square,-75.15013,39.93357,130,POINT (-75.15013 39.93357),100,0.6795522781518789,0.4476604319384514,9.23,0.0,0.77,27.69,62.31,0.0,10.93,0.0,0.09,36.4,52.59,0.0,Relaxation,0.6795522781518789
Sister Cities Park,-75.16934,39.95791,718,POINT (-75.16934 39.95791),200,0.8977849460245839,0.8389358260658805,11.7,0.0,0.28,17.55,70.47,0.0,11.21,0.0,1.11,18.5,69.18,0.0,Relaxation,0.8977849460245839
Sister Clara Muhammad Square,-75.169339,39.957906,718,POINT (-75.169339 39.957906),200,0.8977849460245839,0.8389358260658805,11.7,0.0,0.28,17.55,70.47,0.0,11.21,0.0,1.11,18.5,69.18,0.0,Relaxation,0.8977849460245839
General Casimir Pulaski Park,-75.09752,39.97857,136,POINT (-75.09752 39.97857),100,0.5354175642132759,0.5854390585892125,13.24,1.47,0.74,27.21,57.35,0.0,7.98,0.36,0.33,27.29,64.03,0.0,Relaxation,0.5354175642132759
29th and Chalmers Playground,-75.178342,40.000265,113,POINT (-75.178342 40.000265),100,0.4613681472508253,0.31311823716789644,7.96,0.0,1.77,36.28,53.98,0.0,13.4,0.0,1.22,44.62,40.76,0.0,Inspiration,0.4613681472508253
Inn Yard Park,-75.195332,40.009098,28,POINT (-75.195332 40.009098),50,0.7123260051012039,0.6681154179268628,10.71,0.0,0.0,32.14,57.14,0.0,5.33,0.0,0.0,22.38,72.29,0.0,Relaxation,0.7123260051012039
John F Kennedy Plaza (LOVE Park),-75.16564,39.954132,6219,POINT (-75.16564 39.954132),250,0.6344419089251535,0.6037955392365416,17.09,0.88,0.53,28.17,53.3,0.02,15.21,0.78,0.79,29.79,53.41,0.02,Relaxation,0.6344419089251535
Benjamin Franklin Parkway,-75.173259,39.959819,30,POINT (-75.173259 39.959819),50,0.5494371751944224,0.4689525128607766,13.33,0.0,0.0,40.0,46.67,0.0,7.39,0.0,0.0,46.88,45.73,0.0,Inspiration,0.5494371751944224
Cret Park,-75.166561,39.955543,61,POINT (-75.166561 39.955543),50,0.6529153634290226,0.5804169943107744,9.84,0.0,0.0,29.51,60.66,0.0,6.34,0.0,0.0,38.31,55.35,0.0,Relaxation,0.6529153634290226
