objectID,type,ParkName,GoogleID,Lat,Long,NumberRatings,inPhilly,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Point,Ralph Brooks Park,ChIJj3anrRLGxokR9UvuVqpf4jk,39.931445,-75.177697,113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Point,Belmont and Edgley Fields,ChIJh2zauHrHxokRC23AG2C8fEo,39.995501,-75.213776,106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Point,Julian Abele Park,ChIJHShWn2rGxokRKdH8EZ4e3To,39.940884,-75.179268,104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Point,Cloverly Park,ChIJhTJ5IEG4xokRRgOs2ZcPoqA,40.0257,-75.18099,97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Point,Disston Park,ChIJ1-dgbMu1xokRCmIU8JS1adE,40.022058,-75.04233,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Point,Salvatore Pachella Memorial Field,ChIJi727LjG5xokRjf4fTUDb7Zk,40.045791,-75.215937,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Point,Giuseppe Bardascino Park,ChIJ_Rn1Th_GxokRoNWBBwLUtx8,39.937796,-75.159919,89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Point,Weccacoe Square,ChIJPaA4Qp_IxokRKzyK5pk8_2Y,39.938151,-75.150634,88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Point,Belmont Grove,ChIJVc_qbm7HxokRWwpjnmvIl4A,39.992323,-75.215304,77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Point,Philadelphia Vietnam Veterans Memorial,ChIJtfQZgJDIxokRk-G7_aKcm4c,39.943987,-75.142773,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Point,Joseph C Fluehr Memorial Park,ChIJ9Q4LTae0xokR-0IfB8t9Cd4,40.05465,-74.98724,72,1,called 'friend of Fluehr Park',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,William Lanier Playground,ChIJbfeERKXIxokRwfCFeGe7TuA,39.93341,-75.19376,72,1,playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Point,Norman (Butch) Ellis Playground,ChIJ61fPdwDHxokRNT38vi70dUs,39.965954,-75.200936,71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Point,Jose Manuel Collazo Park,ChIJ5_ECBd63xokRpEo1lYE45x8,39.999641,-75.130633,68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Point,Bartrams Mile Trail Greenway (56th),ChIJu-aOGoXGxokRsFN8rhDHQWE,39.935125,-75.206924,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Point,Devereaux Ave Trailhead at K and T Trail,ChIJu-aOGoXGxokRsFN8rhDHQWE,39.935125,-75.206924,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Point,Reyburn Park,ChIJLVkfG_rHxokRWMIwhsFWSds,39.994917,-75.165118,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Point,Inn Yard Park,ChIJkTEFDHy4xokR3y81rj83fmI,40.009098,-75.195332,54,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Point,Emanuel Weinberg Park,ChIJGZS7rwHGxokRVEHTa_Ql-VA,39.921253,-75.156526,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Point,Frank Palumbo Sr Park,ChIJ_dp7EyDGxokREDLpVfcF0SM,39.93926,-75.155587,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Point,Ned Wolf Park,ChIJV7DVXqm5xokRRR7AJ717Tnw,40.049056,-75.196502,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Point,Spring Gardens,ChIJt5tHQc7HxokR96tT3I8zqVc,39.96655,-75.16825,52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Point,Chamounix Tennis Courts,ChIJ93-1tG_HxokRX-8IIhEc3js,39.999379,-75.201844,51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tacony Creek Park, I St and Ramona Ave Gateway",ChIJ26qgUku2xokRWu2KHZAoxso,40.0166,-75.10776,51,1,merge with Tacony Creek ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
