ParkName,Long,Lat,review_count_by_park,geometry,size_category,sentiment,weighted_average_sentiment,Discovery_percentage,Engagement_percentage,Frustration & Annoyance_percentage,Inspiration_percentage,Relaxation_percentage,Sorrow_percentage,Discovery_percentage_weighted,Engagement_percentage_weighted,Frustration & Annoyance_percentage_weighted,Inspiration_percentage_weighted,Relaxation_percentage_weighted,Sorrow_percentage_weighted,Dominant_Emotion_weighted
Stephen Girard Park,-75.183447,39.920322,131,POINT (-75.183447 39.920322),100,0.765862803877765,0.7488590685097667,2.29,20.61,4.58,54.96,16.03,1.53,5.75,22.49,7.79,44.19,17.91,1.87,Inspiration
Fernhill Park,-75.1684,40.01951,241,POINT (-75.1684 40.01951),100,0.6910462211276486,0.7421359140968615,1.24,19.92,3.73,55.19,19.5,0.41,2.09,23.21,1.78,57.63,14.89,0.4,Inspiration
Manayunk Canal,-75.24189,40.037381,217,POINT (-75.24189 40.037381),100,0.7172386613309658,0.5697740691148538,0.92,17.05,5.07,59.45,17.51,0.0,0.26,17.14,6.03,48.27,28.3,0.0,Inspiration
29th and Chalmers Playground,-75.178342,40.000265,113,POINT (-75.178342 40.000265),100,0.4613681472508253,0.31317288409457933,0.0,18.58,10.62,42.48,27.43,0.88,0.0,17.75,7.26,36.33,38.59,0.07,Relaxation
Konrad Square,-75.127995,39.979319,68,POINT (-75.127995 39.979319),50,0.6698912706445245,0.5943246436015207,2.94,23.53,7.35,50.0,16.18,0.0,14.7,29.73,12.18,35.14,8.25,0.0,Inspiration
Cret Park,-75.166561,39.955543,61,POINT (-75.166561 39.955543),50,0.6529153634290226,0.5805273545716112,0.0,11.48,4.92,59.02,24.59,0.0,0.0,6.25,2.55,55.44,35.76,0.0,Inspiration
Franklin Delano Roosevelt Park,-75.18381,39.90214,2009,POINT (-75.18381 39.90214),250,0.6805550615961958,0.6603567792498364,1.29,19.26,5.82,54.45,18.67,0.5,1.11,19.64,7.21,54.97,16.48,0.6,Inspiration
Cobbs Creek Park,-75.239171,39.940632,712,POINT (-75.239171 39.940632),200,0.6037974556845226,0.6077462363116459,0.84,21.63,5.34,41.85,29.21,1.12,0.32,24.95,6.32,44.4,23.31,0.7,Inspiration
Ralph Brooks Park,-75.177697,39.931445,37,POINT (-75.177697 39.931445),50,0.8767322897911072,0.911409944191303,0.0,13.51,2.7,54.05,29.73,0.0,0.0,15.51,2.39,68.7,13.4,0.0,Inspiration
Marconi Plaza,-75.171128,39.915667,389,POINT (-75.171128 39.915667),150,0.6799055909436282,0.7180673194272339,0.77,16.71,5.14,51.16,25.45,0.77,1.88,23.21,4.7,49.83,18.66,1.73,Inspiration
Fanny Kemble Abolitionist Memorial Park,-75.1498,40.03998,76,POINT (-75.1498 40.03998),50,0.41437892458940806,0.5568409049028913,2.63,22.37,7.89,34.21,32.89,0.0,2.12,18.95,6.03,44.62,28.28,0.0,Inspiration
Colonel Thomas J Powers Park,-75.108931,39.982504,51,POINT (-75.108931 39.982504),50,0.6942391395568848,0.5293609468762199,0.0,13.73,0.0,58.82,27.45,0.0,0.0,7.36,0.0,62.37,30.27,0.0,Inspiration
Clarence H Clark Park,-75.210414,39.948897,1216,POINT (-75.210414 39.948897),250,0.8341371068534883,0.8190707731031076,0.58,19.08,2.63,60.94,16.78,0.0,0.61,20.51,2.92,61.4,14.56,0.0,Inspiration
John F Kennedy Plaza (LOVE Park),-75.16564,39.954132,6219,POINT (-75.16564 39.954132),250,0.6344419089251535,0.6038267521496213,1.22,16.72,5.32,52.45,23.22,1.06,1.14,18.22,5.36,49.56,24.8,0.92,Inspiration
Korean War Veterans Memorial,-75.14344,39.94499,99,POINT (-75.14344 39.94499),50,0.8487849277679367,0.7994623157568573,5.05,20.2,2.02,40.4,26.26,6.06,4.28,20.38,3.53,52.81,11.2,7.81,Inspiration
